molecule_name,formula,rows,primary_rows,sources,energy_min_eV,energy_max_eV,primary_energy_max_eV,cv_fold,raw_primary_nmae_percent,raw_whole_nmae_percent,constant_primary_nmae_percent,constant_whole_nmae_percent,ml_primary_nmae_percent,ml_whole_nmae_percent,improvement_pp
methane,CH4,56,37,"[""${ARCHIVE_ROOT}\\nist_strict_usable_numeric_pairs_2026_07_30\\paired_numeric\\017_CH4_BEB_vs_experiment.csv""]",15.1328,298.389,80.8183,3,6.140594410965949,8.273180193569697,5.135720393303543,6.513909700326584,7.32724060940288,8.797820751961822,-1.1866461984369305
ethene,C2H4,28,23,"[""${ARCHIVE_ROOT}\\nist_strict_usable_numeric_pairs_2026_07_30\\paired_numeric\\013_C2H4_BEB_vs_experiment.csv""]",11.4662,146.149,85.6065,1,5.591420754661089,8.508520802064206,3.8899275975292436,6.283496192919142,8.008679807459757,10.047115637493777,-2.417259052798668
methyl formate,C2H4O2,55,20,"[""${ARCHIVE_ROOT}\\outputs\\no_qec_priority_2026_07_31\\ready15_esters_experiment_beb\\paired_curves\\001_methyl_formate_experiment_beb_paired.csv""]",15.0,285.0,110.0,2,21.137951025857742,8.947393908427001,25.290681317402193,10.033908963224771,4.300932713270025,2.298978682544438,16.837018312587716
propyl acetate,C5H10O2,55,20,"[""${ARCHIVE_ROOT}\\outputs\\no_qec_priority_2026_07_31\\ready15_esters_experiment_beb\\paired_curves\\010_propyl_acetate_experiment_beb_paired.csv""]",15.0,285.0,110.0,3,18.42429146793077,9.723439623938992,22.047739558245322,9.745957079388857,1.7682043452103768,2.337576810514817,16.656087122720393
carbon monosulfide,CS,32,20,"[""${ARCHIVE_ROOT}\\nist_strict_usable_numeric_pairs_2026_07_30\\paired_numeric\\006_CS_BEB_vs_experiment.csv""]",12.0409,176.82,60.0621,0,25.08686578318401,20.4138570086729,24.87952007548855,22.454344482994504,25.156245527618587,22.440808969090526,-0.06937974443457762
ozone,O3,19,15,"[""${ARCHIVE_ROOT}\\nist_strict_usable_numeric_pairs_2026_07_30\\paired_numeric\\024_O3_BEB_vs_experiment.csv""]",20.1473,257.698,90.8947,1,54.258977704149935,55.19915334846679,60.505422002189526,61.483668395321146,41.727866738632535,44.85771389921294,12.5311109655174
dichlorodifluoromethane,CCl2F2,14,10,"[""${PROJECT_ROOT}\\data\\processed\\expanded_measured_total_master_2026_07_26.csv""]",15.0,300.0,100.0,3,26.76732990378329,21.363114220073378,30.646051353246428,25.07648196755478,55.75372943164373,48.83624775589517,-28.98639952786044
