identity_key,molecule_name,formula,rows,primary_rows,sources,energy_min_eV,energy_max_eV,primary_energy_max_eV,cv_fold,raw_primary_nmae_percent,raw_whole_nmae_percent,constant_primary_nmae_percent,constant_whole_nmae_percent,ml_primary_nmae_percent,ml_whole_nmae_percent,improvement_pp
carbon-tetrafluoride,carbon tetrafluoride,CF4,85,64,"[""${ARCHIVE_ROOT}\\nist_strict_usable_numeric_pairs_2026_07_30\\paired_numeric\\008_CF4_BEB_vs_experiment.csv""]",17.0173,298.293,123.409,0,9.226464375461147,7.926318560372883,8.254125847255233,7.690483731990745,9.295622088241123,8.063959998462293,-0.06915771277997607
carbonyl-sulfide,carbonyl sulfide,COS,23,18,"[""${ARCHIVE_ROOT}\\nist_strict_usable_numeric_pairs_2026_07_30\\paired_numeric\\009_COS_BEB_vs_experiment.csv""]",15.094,299.601,139.293,4,4.348688386347032,6.452471616383715,4.613195518085636,5.869594076554054,4.677775556663606,5.1757841185602045,-0.32908717031657453
chloroethane,chloroethane,C2H5Cl,28,11,"[""${PROJECT_ROOT}\\data\\processed\\expanded_measured_total_master_2026_07_26.csv""]",25.0,160.0,75.0,0,30.89922290894225,29.071471671882026,27.998688426390135,26.094216554457255,28.473254279227188,26.136599616525412,2.4259686297150616
chloroform,chloroform,CHCl3,28,9,"[""${PROJECT_ROOT}\\data\\processed\\expanded_measured_total_master_2026_07_26.csv""]",25.0,160.0,65.0,1,37.27559656502192,25.570711833791997,34.73568285616935,22.55682953279158,34.893501287744506,20.831740160313043,2.382095277277415
chloromethane,chloromethane,CH3Cl,45,19,"[""${PROJECT_ROOT}\\data\\processed\\expanded_measured_total_master_2026_07_26.csv""]",14.0,300.0,60.0,3,31.164394960646774,20.62461804420809,29.058220302274133,18.195956047580587,20.70242106851824,14.563685067272525,10.461973892128533
dichlorodifluoromethane,dichlorodifluoromethane,CCl2F2,14,10,"[""${PROJECT_ROOT}\\data\\processed\\expanded_measured_total_master_2026_07_26.csv""]",15.0,300.0,100.0,3,26.76732990378329,21.363114220073378,30.646051353246428,25.07648196755478,55.75372943164373,48.83624775589517,-28.98639952786044
diethyl-ether,diethyl ether,C4H10O,55,17,"[""${PROJECT_ROOT}\\data\\processed\\qec_low_energy_priority_curve_points_2026_07_26.csv""]",15.0,285.0,95.0,3,12.466672128089545,18.417823365157307,9.788400079468158,15.921639698217016,4.463902588669971,6.86432454705406,8.002769539419575
dipropyl-ether,dipropyl ether,C6H14O,55,18,"[""${PROJECT_ROOT}\\data\\processed\\qec_low_energy_priority_curve_points_2026_07_26.csv""]",15.0,285.0,100.0,0,4.50276603250381,9.083232508659023,6.886625134228108,7.196699721605181,4.086752714976966,6.335215118460735,0.41601331752684345
disilane,disilane,Si2H6,38,18,"[""${ARCHIVE_ROOT}\\nist_strict_usable_numeric_pairs_2026_07_30\\paired_numeric\\010_Si2H6_BEB_vs_experiment.csv""]",12.0409,299.601,35.0054,3,47.652853019934234,27.387330739162834,46.06196165760861,26.030762329643526,44.612130135096585,25.51239971015276,3.040722884837649
disulfur,disulfur,S2,26,19,"[""${ARCHIVE_ROOT}\\nist_strict_usable_numeric_pairs_2026_07_30\\paired_numeric\\011_S2_BEB_vs_experiment.csv""]",12.0409,174.613,75.2919,3,29.500210473134114,27.85465575239206,31.14893816737637,30.13286334002279,29.381416436518098,28.739863675214522,0.11879403661601629
ethane,Ethane,C2H6,55,36,"[""${ARCHIVE_ROOT}\\nist_strict_usable_numeric_pairs_2026_07_30\\paired_numeric\\012_C2H6_BEB_vs_experiment.csv""]",12.0577,281.916,90.5395,2,6.543290337620557,4.5474590942626385,9.796254678091717,6.967327728341561,22.26870236408397,18.619109141995118,-15.725412026463413
ethanethiol,ethanethiol,C2H6S,48,8,"[""${PROJECT_ROOT}\\data\\processed\\expanded_measured_total_master_2026_07_26.csv""]",43.1352,285.3832,92.8969,1,16.23691441635628,23.45568889329379,12.845076507682798,20.392474348848154,15.005705019569795,19.90968717586814,1.231209396786486
ethyl-acetate,ethyl acetate,C4H8O2,55,20,"[""${ARCHIVE_ROOT}\\outputs\\no_qec_priority_2026_07_31\\ready15_esters_experiment_beb\\paired_curves\\009_ethyl_acetate_experiment_beb_paired.csv""]",15.0,285.0,110.0,1,12.284745586521975,11.632719122864026,16.31675219715278,10.505692185694842,2.183231147218243,5.112718537036157,10.101514439303731
ethyl-formate,ethyl formate,C3H6O2,55,21,"[""${ARCHIVE_ROOT}\\outputs\\no_qec_priority_2026_07_31\\ready15_esters_experiment_beb\\paired_curves\\002_ethyl_formate_experiment_beb_paired.csv""]",15.0,285.0,115.0,4,18.324737766478673,9.54811077520357,22.705295408923657,9.876700304424626,4.083637892510014,4.226555786240656,14.24109987396866
ethylene,ethene,C2H4,28,23,"[""${ARCHIVE_ROOT}\\nist_strict_usable_numeric_pairs_2026_07_30\\paired_numeric\\013_C2H4_BEB_vs_experiment.csv""]",11.4662,146.149,85.6065,1,5.591420754661089,8.508520802064206,3.8899275975292436,6.283496192919142,8.008679807459757,10.047115637493777,-2.417259052798668
