scope,comparison,molecules,baseline_primary_macro_NMAE,candidate_primary_macro_NMAE,baseline_minus_candidate_percentage_points,difference_95_CI_low,difference_95_CI_high,positive_resamples,resamples
curve,routed residual versus direct log prediction,74,0.1579244762168214,0.14169094668747825,1.6233529529343105,0.5664085873118947,2.875703663119547,19986,20000
curve,no-shape residual versus full routed residual,74,0.14169094668747825,0.14082906605494783,0.0861880632530486,-0.31116010885241185,0.5025863755800968,13097,20000
curve,pooled residual versus full routed residual,74,0.14169094668747825,0.12383246408062516,1.7858482606853112,0.4648653917486654,3.2582190465728247,19917,20000
all evidence,pooled residual versus full routed residual,194,0.13639898186793245,0.12549566106751156,1.090332080042087,-0.13385182763583697,2.625285258261853,19119,20000
