method,all_evidence_primary_macro_NMAE,all_evidence_R2,curve_primary_macro_NMAE,curve_R2
raw_beb,0.197444794628447,0.9045865132421167,0.15276432279108756,0.9228788163076935
constant_scale,0.21048616777584694,0.9172310347768571,0.16063851410519994,0.9330861571726692
direct_log_prediction,0.14554338097199368,0.9396952771388899,0.15208398184893826,0.9399017728714567
residual_energy_beb_only,0.19051853894685683,0.9245663749156983,0.15924945183732814,0.9384978289783009
residual_no_molecular_composition,0.19414232581528354,0.9261451914357705,0.1560586159851195,0.9405145130656105
residual_no_beb_shape,0.1294525048688669,0.9505729088575762,0.1397644881992834,0.9500926014913804
pooled_no_task_routing,0.13144273169305398,0.9618659659083031,0.1252070631023299,0.9655165547819414
full_routed_residual,0.126591155588995,0.9504212448623668,0.1402296355253955,0.9489743886590637
