held_out_batch,molecules,rows,raw_primary_macro_NMAE,ml_primary_macro_NMAE,improvement_percentage_points,inner_selected_NMAE,selected_config,selected_weights
NIST curated curve batch,30,1482,0.15242117856958434,0.17708901667877333,-2.4667838109188986,0.12036500546410728,"{""kind"": ""extra"", ""max_depth"": 16, ""max_features"": 1.0, ""min_samples_leaf"": 5}","{""tree"": 1.0, ""ridge"": 0.0, ""global"": 0.0, ""raw"": 0.0}"
QEC priority batch,13,715,0.08446673699525722,0.09004333799610517,-0.5576601000847947,0.15381866660834137,"{""kind"": ""extra"", ""max_depth"": null, ""max_features"": 0.65, ""min_samples_leaf"": 2}","{""tree"": 0.25, ""ridge"": 0.5, ""global"": 0.0, ""raw"": 0.25}"
Hudson ester family,9,495,0.17968312561629582,0.19839533290316985,-1.8712207286874034,0.14341642610786867,"{""kind"": ""extra"", ""max_depth"": null, ""max_features"": 0.65, ""min_samples_leaf"": 2}","{""tree"": 0.5, ""ridge"": 0.25, ""global"": 0.0, ""raw"": 0.25}"
NIST graph-digitised batch,9,254,0.13683263140162782,0.17060039779670946,-3.3767766395081638,0.1316960818802419,"{""kind"": ""extra"", ""max_depth"": null, ""max_features"": 0.65, ""min_samples_leaf"": 2}","{""tree"": 0.5, ""ridge"": 0.5, ""global"": 0.0, ""raw"": 0.0}"
Expanded measured batch,6,210,0.25709559998688564,0.27418577130403415,-1.7090171317148517,0.12525132589144466,"{""kind"": ""extra"", ""max_depth"": null, ""max_features"": 0.65, ""min_samples_leaf"": 2}","{""tree"": 0.75, ""ridge"": 0.0, ""global"": 0.0, ""raw"": 0.25}"
Heavy-ECP figure batch,3,49,0.2234221242378933,0.19967630974591777,2.374581449197552,0.12976471326397443,"{""kind"": ""extra"", ""max_depth"": null, ""max_features"": 0.65, ""min_samples_leaf"": 2}","{""tree"": 0.75, ""ridge"": 0.25, ""global"": 0.0, ""raw"": 0.0}"
SiClx figure batch,3,90,0.16461227416189816,0.21339411423656782,-4.878184007466965,0.13210190301682156,"{""kind"": ""extra"", ""max_depth"": null, ""max_features"": 0.65, ""min_samples_leaf"": 2}","{""tree"": 0.75, ""ridge"": 0.25, ""global"": 0.0, ""raw"": 0.0}"
